pk_registro;temperatura_c;temperatura_c_situacao;pressao_atm;umidade_relativa;umidade_relativa_situacao;valor_entalpia;situacao_entalpia;data;hora
549;23,97;ATENCAO;926,9;58,82;OTIMA;46,57;CRITICA;29/09/2021;8:54:14
550;24,13;ATENCAO;926,77;60,09;OTIMA;47,44;CRITICA;29/09/2021;9:14:14
551;24,06;ATENCAO;926,48;61,8;OTIMA;47,94;CRITICA;29/09/2021;9:44:14
552;23,56;ATENCAO;926,48;62,39;OTIMA;46,95;CRITICA;29/09/2021;10:24:14
553;23,59;ATENCAO;926,56;63,29;OTIMA;47,35;CRITICA;29/09/2021;10:54:14
554;23,27;ATENCAO;926,47;63,61;OTIMA;46,69;CRITICA;29/09/2021;11:34:14
555;22,74;CRITICA;926,68;65,78;ATENCAO;46,18;CRITICA;29/09/2021;11:54:14
556;22,82;CRITICA;926,85;66,23;ATENCAO;46,53;CRITICA;29/09/2021;12:24:14
557;22,81;CRITICA;926,87;67,82;ATENCAO;47,07;CRITICA;29/09/2021;12:44:14
558;22,73;CRITICA;927,51;69,79;ATENCAO;47,55;CRITICA;29/09/2021;13:04:14
559;23,62;ATENCAO;927,7;67,23;ATENCAO;48,87;ATENCAO;29/09/2021;13:54:14
560;24,34;ATENCAO;928,05;65,54;ATENCAO;50,05;ATENCAO;29/09/2021;14:14:14
561;26,63;ATENCAO;928,31;67,03;ATENCAO;56,78;ATENCAO;29/09/2021;14:44:14
562;27,5;OTIMA;928,86;67,92;ATENCAO;59,64;ATENCAO;29/09/2021;15:04:14
563;27,31;OTIMA;929,17;57,73;OTIMA;54,34;ATENCAO;29/09/2021;15:44:14
564;29,32;OTIMA;924,97;63,67;OTIMA;63,00;ATENCAO;29/09/2021;16:01:39
565;28,98;OTIMA;925,06;59,57;OTIMA;59,88;ATENCAO;29/09/2021;16:18:22
566;28,8;OTIMA;925,21;60,39;OTIMA;59,79;ATENCAO;29/09/2021;16:35:05
567;28,96;OTIMA;925,43;58,95;OTIMA;59,49;ATENCAO;29/09/2021;16:51:48
568;29,35;OTIMA;925,51;55,18;OTIMA;58,60;ATENCAO;29/09/2021;17:08:31
569;29,54;OTIMA;925,75;51,79;ATENCAO;57,30;ATENCAO;29/09/2021;17:25:14
570;29,41;OTIMA;925,96;50,26;ATENCAO;56,14;ATENCAO;29/09/2021;17:41:57
571;29,53;OTIMA;926,12;54,81;ATENCAO;58,87;ATENCAO;29/09/2021;17:58:40
572;29,37;OTIMA;926,43;57,96;OTIMA;60,09;ATENCAO;29/09/2021;18:15:23
573;28,88;OTIMA;926,81;61,45;OTIMA;60,50;ATENCAO;29/09/2021;18:32:06
574;28,12;OTIMA;927,21;66,9;ATENCAO;61,02;ATENCAO;29/09/2021;18:48:49
575;29,27;OTIMA;927,08;69,79;ATENCAO;65,98;ATENCAO;29/09/2021;19:05:32
576;29,94;OTIMA;927,55;68,36;ATENCAO;67,31;ATENCAO;29/09/2021;19:22:15
577;29,63;OTIMA;928,03;68,4;ATENCAO;66,34;ATENCAO;29/09/2021;19:38:58
578;29,23;OTIMA;928,43;68,02;ATENCAO;64,88;ATENCAO;29/09/2021;19:55:41
579;28,56;OTIMA;928,63;71,7;ATENCAO;64,68;ATENCAO;29/09/2021;20:19:53
580;28,26;OTIMA;929,13;70,17;ATENCAO;62,97;ATENCAO;29/09/2021;20:36:36
581;27,95;OTIMA;929,54;70,77;ATENCAO;62,31;ATENCAO;29/09/2021;20:53:19
582;27,94;OTIMA;929,53;71,65;ATENCAO;62,71;OTIMA;29/09/2021;21:10:02
583;27,83;OTIMA;929,42;71,57;ATENCAO;62,34;ATENCAO;29/09/2021;21:26:45
584;27,77;OTIMA;929,59;72,63;ATENCAO;62,66;ATENCAO;29/09/2021;21:43:28
585;27,81;OTIMA;930,03;73,74;ATENCAO;63,29;ATENCAO;29/09/2021;22:00:11
586;27,49;OTIMA;929,99;72,55;ATENCAO;61,75;ATENCAO;29/09/2021;22:16:54
587;27,17;OTIMA;930,07;72,32;ATENCAO;60,68;ATENCAO;29/09/2021;22:33:37
588;27,15;OTIMA;930,11;73,28;ATENCAO;61,06;ATENCAO;29/09/2021;22:50:20
589;26,67;ATENCAO;929,93;73,34;ATENCAO;59,66;ATENCAO;29/09/2021;23:07:03
590;26,63;ATENCAO;929,68;73,37;ATENCAO;59,57;ATENCAO;29/09/2021;23:23:46
591;26,49;ATENCAO;929,53;73,61;ATENCAO;59,26;ATENCAO;29/09/2021;23:57:12
